a;b;result;score;time_factor;success;fail
1;1;1;0.5;1.0;1;0
1;2;2;0.5;0.7;1;0
1;3;3;1.0;3.2000000000000024;0;0
1;4;4;1.0;3.2000000000000024;0;0
1;5;5;1.0;3.2000000000000024;0;0
1;6;6;0.5;3.2000000000000024;1;0
1;7;7;1.0;3.2000000000000024;0;0
1;8;8;1.0;3.2000000000000024;0;0
1;9;9;1.0;3.2000000000000024;0;0
1;10;10;1.0;3.2000000000000024;0;0
2;1;2;1.0;3.2000000000000024;0;0
2;2;4;1.0;3.2000000000000024;0;0
2;3;6;1.0;3.2000000000000024;0;0
2;4;8;1.0;3.2000000000000024;0;0
2;5;10;1.0;3.2000000000000024;0;0
2;6;12;1.0;3.2000000000000024;0;0
2;7;14;0.5;0.4;1;0
2;8;16;1.0;3.2000000000000024;0;0
2;9;18;0.5;0.1;1;0
2;10;20;1.0;3.2000000000000024;0;0
3;1;3;1.0;3.2000000000000024;0;0
3;2;6;1.0;3.2000000000000024;0;0
3;3;9;1.0;3.2000000000000024;0;0
3;4;12;1.0;3.2000000000000024;0;0
3;5;15;1.0;3.2000000000000024;0;0
3;6;18;0.5;1.700000000000001;1;0
3;7;21;1.0;3.2000000000000024;1;0
3;8;24;1.0;3.2000000000000024;0;0
3;9;27;1.0;3.2000000000000024;0;0
3;10;30;1.0;3.2000000000000024;0;0
4;1;4;0.5;3.2000000000000024;1;0
4;2;8;0.5;3.2000000000000024;1;0
4;3;12;1.0;3.2000000000000024;0;0
4;4;16;0.5;1.4000000000000006;1;0
4;5;20;0.5;2.0000000000000013;1;0
4;6;24;1.0;3.2000000000000024;0;0
4;7;28;1.0;3.2000000000000024;0;0
4;8;32;1000.0;0.2;2;4
4;9;36;1.0;3.2000000000000024;0;0
4;10;40;1.0;3.2000000000000024;0;0
5;1;5;1.0;3.2000000000000024;0;0
5;2;10;2.0;3.2000000000000024;0;1
5;3;15;1.0;3.2000000000000024;0;0
5;4;20;1.0;3.2000000000000024;0;0
5;5;25;0.5;1.8000000000000012;1;0
5;6;30;0.5;3.2000000000000024;1;0
5;7;35;0.5;0.7999999999999999;1;0
5;8;40;1.0;3.2000000000000024;0;0
5;9;45;1.0;3.2000000000000024;0;0
5;10;50;0.5;1.9000000000000012;1;0
6;1;6;0.5;2.2000000000000015;1;0
6;2;12;1.0;3.2000000000000024;0;0
6;3;18;1.0;3.2000000000000024;0;0
6;4;24;1.0;3.2000000000000024;0;0
6;5;30;0.5;1.1;1;0
6;6;36;1.0;3.2000000000000024;0;0
6;7;42;1.0;3.2000000000000024;0;0
6;8;48;1.0;3.2000000000000024;0;0
6;9;54;1.0;3.2000000000000024;0;0
6;10;60;0.5;1.2000000000000002;1;0
7;1;7;0.5;1.3000000000000005;1;0
7;2;14;1.0;3.2000000000000024;0;0
7;3;21;1.0;3.2000000000000024;0;0
7;4;28;1.0;3.2000000000000024;0;0
7;5;35;1.0;3.2000000000000024;0;0
7;6;42;1.0;3.2000000000000024;0;0
7;7;49;0.5;3.2000000000000024;1;0
7;8;56;0.5;2.4000000000000017;1;0
7;9;63;1.0;3.2000000000000024;0;0
7;10;70;1.0;3.2000000000000024;0;0
8;1;8;1.0;3.2000000000000024;0;0
8;2;16;1.0;3.2000000000000024;0;0
8;3;24;2.0;0.6;1;1
8;4;32;1.0;3.2000000000000024;0;0
8;5;40;1.0;3.2000000000000024;0;0
8;6;48;20.0;0.5;1;3
8;7;56;1.0;3.2000000000000024;0;0
8;8;64;0.5;3.2000000000000024;1;0
8;9;72;1.0;3.2000000000000024;0;0
8;10;80;1.0;3.2000000000000024;0;0
9;1;9;1.0;3.2000000000000024;0;0
9;2;18;1.0;3.2000000000000024;0;0
9;3;27;0.5;2.600000000000002;1;0
9;4;36;1.0;3.2000000000000024;0;0
9;5;45;0.5;2.3000000000000016;1;0
9;6;54;0.5;2.1000000000000014;1;0
9;7;63;0.5;3.2000000000000024;1;0
9;8;72;0.5;3.2000000000000024;1;0
9;9;81;0.5;3.2000000000000024;1;0
9;10;90;0.5;1.600000000000001;2;0
10;1;10;1.0;3.2000000000000024;0;0
10;2;20;0.5;0.8999999999999999;1;0
10;3;30;0.5;2.700000000000002;1;0
10;4;40;0.5;1.5000000000000009;1;0
10;5;50;1.0;3.2000000000000024;0;0
10;6;60;1.0;3.2000000000000024;0;0
10;7;70;0.5;2.5000000000000018;1;0
10;8;80;1.0;3.2000000000000024;0;0
10;9;90;0.5;3.2000000000000024;1;0
10;10;100;1.0;3.2000000000000024;0;0
